artifact_id,artifact_path,artifact_type,protocol_version,sha256_prefix,file_size_bytes,is_versionable,reason
ART_v1up_0000,configs/protocolo_c/v1up_petropolis_source_targets.yaml,config,v1up,d2584a2a427629b6,184,true,Safe v1up engineering artifact
ART_v1up_0001,configs/protocolo_c/v1up_petropolis_allowed_domains.yaml,config,v1up,5296dbf847b73672,277,true,Safe v1up engineering artifact
ART_v1up_0002,configs/protocolo_c/v1up_petropolis_download_policy.yaml,config,v1up,bb49ef457d9249ed,145,true,Safe v1up engineering artifact
ART_v1up_0003,configs/protocolo_c/v1up_petropolis_phenomenon_terms.yaml,config,v1up,a23426070ca433e3,254,true,Safe v1up engineering artifact
ART_v1up_0004,configs/protocolo_c/v1up_petropolis_observed_geometry_policy.yaml,config,v1up,3ad963c2fe602ae3,199,true,Safe v1up engineering artifact
ART_v1up_0005,configs/protocolo_c/v1up_petropolis_candidate_scoring_policy.yaml,config,v1up,e2b98db0ae37d89b,325,true,Safe v1up engineering artifact
ART_v1up_0006,datasets/protocolo_c/v1up_petropolis_source_target_registry.csv,dataset,v1up,6598465b874a5512,7274,true,Safe v1up engineering artifact
ART_v1up_0007,datasets/protocolo_c/v1up_petropolis_sgb_rigeo_registry.csv,dataset,v1up,48c9668168c861b0,1185,true,Safe v1up engineering artifact
ART_v1up_0008,datasets/protocolo_c/v1up_petropolis_geosgb_service_registry.csv,dataset,v1up,b14c9e756d1f3516,471,true,Safe v1up engineering artifact
ART_v1up_0009,datasets/protocolo_c/v1up_petropolis_rj_public_portal_registry.csv,dataset,v1up,7aea977e8b94b707,1950,true,Safe v1up engineering artifact
ART_v1up_0010,datasets/protocolo_c/v1up_petropolis_cemaden_registry.csv,dataset,v1up,3b992deb26f52af6,720,true,Safe v1up engineering artifact
ART_v1up_0011,datasets/protocolo_c/v1up_petropolis_copernicus_charter_registry.csv,dataset,v1up,a4dd301f5ef84db1,2604,true,Safe v1up engineering artifact
ART_v1up_0012,datasets/protocolo_c/v1up_petropolis_download_manifest.csv,dataset,v1up,95d929e0650e91c5,1008,true,Safe v1up engineering artifact
ART_v1up_0013,datasets/protocolo_c/v1up_petropolis_artifact_inventory.csv,dataset,v1up,294f94fa029ea076,1780,true,Safe v1up engineering artifact
ART_v1up_0014,datasets/protocolo_c/v1up_petropolis_phenomenon_separation_registry.csv,dataset,v1up,be5e37cb8ba32eb5,3221,true,Safe v1up engineering artifact
ART_v1up_0015,datasets/protocolo_c/v1up_petropolis_observed_geometry_candidate_audit.csv,dataset,v1up,df84d444a78a6dec,1345,true,Safe v1up engineering artifact
ART_v1up_0016,datasets/protocolo_c/v1up_petropolis_event_status_registry.csv,dataset,v1up,5c5db3e6954cc373,770,true,Safe v1up engineering artifact
ART_v1up_0017,datasets/protocolo_c/v1up_petropolis_ground_reference_blocker_matrix.csv,dataset,v1up,edcf289a0ca21cdc,2355,true,Safe v1up engineering artifact
ART_v1up_0018,datasets/protocolo_c/v1up_next_actions_registry.csv,dataset,v1up,8a049ddfec0274f2,246,true,Safe v1up engineering artifact
ART_v1up_0019,datasets/protocolo_c/v1up_versionable_artifacts_manifest.csv,dataset,v1up,8bac56ce2f306d4e,3557,true,Safe v1up engineering artifact
ART_v1up_0020,docs/metodologia_cientifica/protocolo_c_v1up_petropolis_public_geometry_deepening.md,doc,v1up,a23faeb41dc74241,717,true,Safe v1up engineering artifact
ART_v1up_0021,docs/metodologia_cientifica/protocolo_c_relatorio_v1up_petropolis_public_geometry_deepening.md,doc,v1up,5e73411a753da6b1,1092,true,Safe v1up engineering artifact
ART_v1up_0022,docs/metodologia_cientifica/protocolo_c_status_atual_v1up.md,doc,v1up,0d1f461803c32740,679,true,Safe v1up engineering artifact
